old_value,new_value,in_bc
86123,'BC-600-211',False
87199,'BMC-ARW-501',True
87274,'BC-BMC-DOD-007',False
87277,'BC-BMC-DOD-011',False
87442,'BMC-HAM-702',True
87515,'BMC-PAR-003-R',False
87891,'TOL-DEL-1425',True
87912,'BC-TS61081-BULB',False
87924,'GBX-T-CH',False
87930,'Ground shipping',False
87931,'N. day air shipping',False
87932,'2-day shipping',False
87934,'Freight',False
88299,'Hrly labor, inst w',False
89385,'BFT-300 6" 4 UNIT',True
89387,'BFT-300 8" 1 UNIT',True
89388,'BFT-300 8" 2 UNIT',True
89389,'BFT-300 8" 3 UNIT',True
89390,'BFT-300 8" 4 UNIT',True
89391,'BFT-300 8" 5 UNIT',True
89394,'BFT-300 10" 3UNIT',True
89396,'T-300 10" 5 unit',False
89410,'BFT-400 6" 4 UNIT',True
89412,'BFT-400 8" 1 UNIT',True
89413,'BFT-400 8" 2 UNIT',True
89414,'BFT-400 8" 3 UNIT',True
89415,'BFT-400 8" 4 UNIT',True
89427,'BFT-600 4" 1 UNIT',True
89432,'BFT-600 6" 1 UNIT',True
89433,'BFT-600 6" 2 UNIT',True
89434,'BFT-600 6" 3 UNIT',True
89435,'BFT-600 6" 4 UNIT',True
89437,'BFT-600 8" 1 UNIT',True
89438,'BFT-600 8" 2 UNIT',True
89439,'BFT-600 8" 3 UNIT',True
89440,'BFT-600 8" 4 UNIT',True
89442,'T-600 10" 1 unit',False
89443,'T-600 10" 2 unit',False
89452,'BFT-900 4" 1 UNIT',True
89453,'BFT-900 4" 2 UNIT',True
89454,'BFT-900 4" 3 UNIT',True
89457,'BFT-900 6" 1 UNIT',True
89462,'BFT-900 8" 1 UNIT',True
89472,'T-900 12" 1 unit',False
89477,'BFT-1200 4" 1UNIT',True
89478,'BFT-1200 4" 2UNIT',True
89479,'BFT-1200 4" 3UNIT',True
89483,'BFT-1200 6" 2UNIT',True
89488,'T-1200 8" 2 unit',False
89632,'BFT-650 6" 1 UNIT',True
89677,'BFT-950 4" 1 UNIT',True
89682,'T-950 6" 1 unit',False
89730,'AGC45',True
89731,'AGU65',True
89732,'HE-85',False
89733,'HE-110',False
89734,'AGU65',True
89738,'SP-65',False
89759,'DE-50 Electric Heat',False
89770,'DE-75-041',True
89771,'DE-120-003',True
89783,'FC-20-001',True
89804,'IC-20130',True
89854,'C-5401',True
89859,'C-5001',True
89861,'C-1491',True
89862,'C-1495',True
89864,'C-5610R1',True
89883,'MAT20PDAWW',True
89884,'MAT20PRAWW',True
89887,'MDE20PDAYW',True
89888,'MDE20PRAYW',True
89891,'MDG20PDAWW',True
89892,'MDG20PRAWW',True
89893,'MLE26PDBYW',True
89897,'MLG26PDBWW',True
89902,'MHN33PDCWW',True
89904,'MDE28PDCYW',True
89906,'MDG28PDCWW',True
89909,'MLE22PRAYW',True
89914,'89914',False
89916,'GBE-T-CH',False
89921,'89921',False
89930,'M400086PZ',True
89931,'W11298493',False
89932,'16282',False
89942,'A100117Z',True
89945,'MT279347',True
89948,'WH-WP22003804',False
89954,'3V850',True
89963,'AD-WFR883849',False
89971,'F380726',False
89972,'M400952Z',True
89980,'W11085747',False
89981,'WE12X10014',True
89982,'WFR100683',False
89983,'WP3363394',True
89984,'WP3979346',True
89988,'W10240513',True
89990,'WH-WPW10482836',False
89991,'W11256554',True
89992,'W11294756',True
89993,'W10131839',True
90003,'CCI Flex System',False
90004,'90004',False
90005,'A884265',True
90008,'3" UNISEAL',True
90011,'240DS',True
90012,'ARW-501',True
90015,'T-600OPL6-2',True
90016,'A800501Z',True
90017,'90017',False
90018,'Support charge',False
90020,'90020',False
90021,'90021',False
90023,'Special discount',False
90034,'3-day shipping',False
90038,'C-1006-1000',True
90039,'SD-WP-777',False
90047,'90047',False
90050,'90050',False
90061,'5H00161',True
90062,'FF94-1-200C',True
90063,'BFT-900 6" 3 UNIT',True
90064,'HETPN1100',True
90065,'PLT-12',True
90066,'CA MC520RL-DA',True
90067,'HMBBND-DC',True
90068,'OFFSET END',False
90069,'208/240/1 PH',False
90070,'90070',True
90071,'5B065',True
90072,'MELAMINE PANELING',False
90075,'C-5903',True
90086,'CA MC640RL-DA',True
90087,'STF 3072',False
90088,'CA TFD-305',True
90089,'W10730972',True
